ref_area,time,sex,obs_value_unempl_rate,obs_value_informal,obs_value_worked_hours,obs_value_NEET,obs_value_PKB,obs_value_economic_freedom_overall,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Austria,2021,Female,6.403,1.908,2017.272,10.343,130412.39,73.9,86.8,84.8,83.5,45.7,29.1,90.0,72.6,68.4,81.7,84.0,90.0,70.0
Austria,2021,Male,6.508,1.257,2288.757,14.073,130412.39,73.9,86.8,84.8,83.5,45.7,29.1,90.0,72.6,68.4,81.7,84.0,90.0,70.0
Austria,2021,Total,6.459,1.548,4306.029,12.257,130412.39,73.9,86.8,84.8,83.5,45.7,29.1,90.0,72.6,68.4,81.7,84.0,90.0,70.0
Austria,2022,Female,4.798,1.918,2089.525,10.136,132547.96,73.8,98.4,82.9,94.6,45.5,20.3,71.7,82.3,78.4,82.3,79.2,80.0,70.0
Austria,2022,Male,5.164,0.941,2353.062,14.061,132547.96,73.8,98.4,82.9,94.6,45.5,20.3,71.7,82.3,78.4,82.3,79.2,80.0,70.0
Austria,2022,Total,4.992,1.381,4442.587,12.155,132547.96,73.8,98.4,82.9,94.6,45.5,20.3,71.7,82.3,78.4,82.3,79.2,80.0,70.0
Austria,2023,Female,5.025,1.406,2114.158,10.912,130922.63,71.1,97.0,95.2,80.9,45.7,13.0,54.5,78.5,78.8,80.4,78.6,80.0,70.0
Austria,2023,Male,5.476,0.583,2368.851,15.189,130922.63,71.1,97.0,95.2,80.9,45.7,13.0,54.5,78.5,78.8,80.4,78.6,80.0,70.0
Austria,2023,Total,5.264,0.956,4483.009,13.118,130922.63,71.1,97.0,95.2,80.9,45.7,13.0,54.5,78.5,78.8,80.4,78.6,80.0,70.0
Belarus,2016,Female,4.194,,2462.595,7.55,48927.31,48.8,20.0,31.0,,88.6,44.8,,69.0,74.9,50.4,79.0,20.0,10.0
Belarus,2016,Male,7.48,,2399.193,8.529,48927.31,48.8,20.0,31.0,,88.6,44.8,,69.0,74.9,50.4,79.0,20.0,10.0
Belarus,2016,Total,5.844,,4861.788,8.052,48927.31,48.8,20.0,31.0,,88.6,44.8,,69.0,74.9,50.4,79.0,20.0,10.0
Belarus,2017,Female,4.044,,2474.744,6.595,50152.61,58.6,50.9,37.6,56.3,89.8,48.7,92.8,71.3,74.6,60.4,80.6,30.0,10.0
Belarus,2017,Male,7.229,,2427.085,7.601,50152.61,58.6,50.9,37.6,56.3,89.8,48.7,92.8,71.3,74.6,60.4,80.6,30.0,10.0
Belarus,2017,Total,5.648,,4901.829,7.111,50152.61,58.6,50.9,37.6,56.3,89.8,48.7,92.8,71.3,74.6,60.4,80.6,30.0,10.0
Belarus,2018,Female,3.562,,2438.769,5.466,51487.56,58.1,53.5,42.0,57.3,89.8,47.9,75.4,74.1,73.1,62.3,81.4,30.0,10.0
Belarus,2018,Male,5.926,,2457.935,6.9,51487.56,58.1,53.5,42.0,57.3,89.8,47.9,75.4,74.1,73.1,62.3,81.4,30.0,10.0
Belarus,2018,Total,4.763,,4896.704,6.203,51487.56,58.1,53.5,42.0,57.3,89.8,47.9,75.4,74.1,73.1,62.3,81.4,30.0,10.0
Belarus,2019,Female,3.2,,2452.723,5.654,52348.76,57.9,55.2,37.7,51.7,89.4,41.3,85.4,75.0,75.3,67.0,76.4,30.0,10.0
Belarus,2019,Male,5.109,,2456.388,8.07,52348.76,57.9,55.2,37.7,51.7,89.4,41.3,85.4,75.0,75.3,67.0,76.4,30.0,10.0
Belarus,2019,Total,4.165,,4909.111,6.897,52348.76,57.9,55.2,37.7,51.7,89.4,41.3,85.4,75.0,75.3,67.0,76.4,30.0,10.0
Belarus,2020,Female,3.301,,2424.377,5.764,52634.11,61.7,63.2,37.4,48.4,88.8,54.1,95.4,76.4,74.8,69.8,82.0,30.0,20.0
Belarus,2020,Male,4.775,,2461.036,7.761,52634.11,61.7,63.2,37.4,48.4,88.8,54.1,95.4,76.4,74.8,69.8,82.0,30.0,20.0
Belarus,2020,Total,4.049,,4885.412,6.79,52634.11,61.7,63.2,37.4,48.4,88.8,54.1,95.4,76.4,74.8,69.8,82.0,30.0,20.0
Belarus,2021,Female,3.068,,2448.744,4.836,54436.9,61.0,58.6,39.8,40.4,92.9,55.5,96.5,75.9,75.7,70.2,76.0,30.0,20.0
Belarus,2021,Male,4.734,,2401.901,6.086,54436.9,61.0,58.6,39.8,40.4,92.9,55.5,96.5,75.9,75.7,70.2,76.0,30.0,20.0
Belarus,2021,Total,3.9,,4850.645,5.476,54436.9,61.0,58.6,39.8,40.4,92.9,55.5,96.5,75.9,75.7,70.2,76.0,30.0,20.0
Belarus,2022,Female,2.905,,2439.045,5.13,52055.34,53.0,34.5,43.7,15.5,93.3,56.7,95.3,54.5,46.8,70.2,75.6,30.0,20.0
Belarus,2022,Male,4.242,,2408.056,5.168,52055.34,53.0,34.5,43.7,15.5,93.3,56.7,95.3,54.5,46.8,70.2,75.6,30.0,20.0
Belarus,2022,Total,3.574,,4847.102,5.149,52055.34,53.0,34.5,43.7,15.5,93.3,56.7,95.3,54.5,46.8,70.2,75.6,30.0,20.0
Belarus,2023,Female,2.781,,2412.84,,54633.54,51.0,31.2,11.1,38.9,89.9,57.8,94.3,53.7,47.1,66.9,70.8,30.0,20.0
Belarus,2023,Male,4.137,,2387.131,,54633.54,51.0,31.2,11.1,38.9,89.9,57.8,94.3,53.7,47.1,66.9,70.8,30.0,20.0
Belarus,2023,Total,3.461,,4799.971,,54633.54,51.0,31.2,11.1,38.9,89.9,57.8,94.3,53.7,47.1,66.9,70.8,30.0,20.0
Belgium,2015,Female,7.769,3.07,2118.12,11.816,145195.19,68.8,80.0,75.0,,43.6,10.2,,90.7,63.7,81.7,88.0,85.0,70.0
Belgium,2015,Male,9.094,1.891,2433.501,12.537,145195.19,68.8,80.0,75.0,,43.6,10.2,,90.7,63.7,81.7,88.0,85.0,70.0
Belgium,2015,Total,8.482,2.44,4551.621,12.182,145195.19,68.8,80.0,75.0,,43.6,10.2,,90.7,63.7,81.7,88.0,85.0,70.0
Belgium,2016,Female,7.561,3.389,2121.032,9.712,145795.35,68.4,80.0,76.0,,44.2,11.0,,85.4,60.5,84.0,88.0,85.0,70.0
Belgium,2016,Male,8.06,1.797,2465.392,10.055,145795.35,68.4,80.0,76.0,,44.2,11.0,,85.4,60.5,84.0,88.0,85.0,70.0
Belgium,2016,Total,7.83,2.539,4586.424,9.886,145795.35,68.4,80.0,76.0,,44.2,11.0,,85.4,60.5,84.0,88.0,85.0,70.0
Belgium,2017,Female,7.052,3.506,2142.051,9.431,145919.51,67.8,83.3,71.5,69.3,44.1,9.6,66.3,82.0,61.1,84.9,87.0,85.0,70.0
Belgium,2017,Male,7.123,2.205,2495.65,10.265,145919.51,67.8,83.3,71.5,69.3,44.1,9.6,66.3,82.0,61.1,84.9,87.0,85.0,70.0
Belgium,2017,Total,7.09,2.817,4637.701,9.855,145919.51,67.8,83.3,71.5,69.3,44.1,9.6,66.3,82.0,61.1,84.9,87.0,85.0,70.0
Belgium,2018,Female,5.562,3.004,2223.925,10.021,145103.21,67.5,81.2,70.9,69.5,44.0,12.1,67.9,80.6,59.5,82.6,86.9,85.0,70.0
Belgium,2018,Male,6.271,2.212,2531.255,9.59,145103.21,67.5,81.2,70.9,69.5,44.0,12.1,67.9,80.6,59.5,82.6,86.9,85.0,70.0
Belgium,2018,Total,5.941,2.583,4755.18,9.801,145103.21,67.5,81.2,70.9,69.5,44.0,12.1,67.9,80.6,59.5,82.6,86.9,85.0,70.0
Belgium,2019,Female,4.941,2.306,2265.114,8.719,145937.34,67.3,81.3,72.5,61.6,47.1,15.2,73.4,78.1,61.0,76.1,86.0,85.0,70.0
Belgium,2019,Male,5.735,1.184,2566.911,9.762,145937.34,67.3,81.3,72.5,61.6,47.1,15.2,73.4,78.1,61.0,76.1,86.0,85.0,70.0
Belgium,2019,Total,5.364,1.717,4832.025,9.25,145937.34,67.3,81.3,72.5,61.6,47.1,15.2,73.4,78.1,61.0,76.1,86.0,85.0,70.0
Belgium,2020,Female,5.352,1.531,2245.679,9.525,139044.73,68.9,84.5,80.2,62.5,46.7,17.2,77.0,75.2,61.1,80.5,86.4,85.0,70.0
Belgium,2020,Male,5.714,1.015,2556.145,10.445,139044.73,68.9,84.5,80.2,62.5,46.7,17.2,77.0,75.2,61.1,80.5,86.4,85.0,70.0
Belgium,2020,Total,5.545,1.262,4801.823,9.994,139044.73,68.9,84.5,80.2,62.5,46.7,17.2,77.0,75.2,61.1,80.5,86.4,85.0,70.0
Belgium,2021,Female,5.837,1.385,2278.476,5.669,147345.09,70.1,84.0,81.3,70.2,46.5,18.4,78.7,80.1,61.1,82.0,84.0,85.0,70.0
Belgium,2021,Male,6.609,1.539,2575.235,7.602,147345.09,70.1,84.0,81.3,70.2,46.5,18.4,78.7,80.1,61.1,82.0,84.0,85.0,70.0
Belgium,2021,Total,6.248,1.465,4853.711,6.654,147345.09,70.1,84.0,81.3,70.2,46.5,18.4,78.7,80.1,61.1,82.0,84.0,85.0,70.0
Belgium,2022,Female,5.257,1.383,2351.647,6.316,148058.81,69.6,92.5,83.6,91.2,48.2,10.1,50.3,82.8,57.4,84.3,79.2,85.0,70.0
Belgium,2022,Male,5.848,1.15,2638.638,7.869,148058.81,69.6,92.5,83.6,91.2,48.2,10.1,50.3,82.8,57.4,84.3,79.2,85.0,70.0
Belgium,2022,Total,5.57,1.262,4990.286,7.107,148058.81,69.6,92.5,83.6,91.2,48.2,10.1,50.3,82.8,57.4,84.3,79.2,85.0,70.0
Belgium,2023,Female,5.059,1.072,2372.428,5.523,149164.83,67.1,92.0,91.4,81.3,50.2,8.1,31.5,79.0,57.8,80.3,78.6,85.0,70.0
Belgium,2023,Male,5.979,1.049,2656.017,7.962,149164.83,67.1,92.0,91.4,81.3,50.2,8.1,31.5,79.0,57.8,80.3,78.6,85.0,70.0
Belgium,2023,Total,5.547,1.06,5028.445,6.765,149164.83,67.1,92.0,91.4,81.3,50.2,8.1,31.5,79.0,57.8,80.3,78.6,85.0,70.0
Bosnia and Herzegovina,2015,Female,30.694,27.476,306.56,26.539,46260.63,59.0,20.0,42.0,,82.9,27.3,,53.5,63.4,84.0,87.2,70.0,60.0
Bosnia and Herzegovina,2015,Male,25.782,31.711,514.952,29.944,46260.63,59.0,20.0,42.0,,82.9,27.3,,53.5,63.4,84.0,87.2,70.0,60.0
Bosnia and Herzegovina,2015,Total,27.695,30.131,821.512,28.348,46260.63,59.0,20.0,42.0,,82.9,27.3,,53.5,63.4,84.0,87.2,70.0,60.0
Bosnia and Herzegovina,2016,Female,30.049,27.584,287.561,25.383,47007.64,58.6,20.0,39.0,,83.9,33.1,,54.6,59.4,84.3,87.0,65.0,60.0
Bosnia and Herzegovina,2016,Male,22.53,32.1,513.522,28.598,47007.64,58.6,20.0,39.0,,83.9,33.1,,54.6,59.4,84.3,87.0,65.0,60.0
Bosnia and Herzegovina,2016,Total,25.408,30.479,801.084,27.09,47007.64,58.6,20.0,39.0,,83.9,33.1,,54.6,59.4,84.3,87.0,65.0,60.0
Bosnia and Herzegovina,2017,Female,23.135,26.246,306.779,25.084,46263.07,60.2,41.2,32.7,40.0,83.5,33.7,89.3,47.4,59.3,84.0,86.6,65.0,60.0
Bosnia and Herzegovina,2017,Male,18.868,23.966,508.88,25.857,46263.07,60.2,41.2,32.7,40.0,83.5,33.7,89.3,47.4,59.3,84.0,86.6,65.0,60.0
Bosnia and Herzegovina,2017,Total,20.527,24.824,815.659,25.506,46263.07,60.2,41.2,32.7,40.0,83.5,33.7,89.3,47.4,59.3,84.0,86.6,65.0,60.0
Bosnia and Herzegovina,2018,Female,20.326,22.343,307.349,22.154,47532.31,61.4,39.5,28.4,43.7,83.5,41.5,94.4,49.3,59.6,83.5,87.8,65.0,60.0
Bosnia and Herzegovina,2018,Male,17.206,22.028,515.097,23.006,47532.31,61.4,39.5,28.4,43.7,83.5,41.5,94.4,49.3,59.6,83.5,87.8,65.0,60.0
Bosnia and Herzegovina,2018,Total,18.4,22.146,822.446,22.605,47532.31,61.4,39.5,28.4,43.7,83.5,41.5,94.4,49.3,59.6,83.5,87.8,65.0,60.0
Bosnia and Herzegovina,2019,Female,18.778,24.282,308.072,22.718,48172.89,61.9,40.2,30.2,37.9,84.3,46.1,96.6,49.7,67.0,83.1,82.6,65.0,60.0
Bosnia and Herzegovina,2019,Male,13.649,22.404,494.784,22.501,48172.89,61.9,40.2,30.2,37.9,84.3,46.1,96.6,49.7,67.0,83.1,82.6,65.0,60.0
Bosnia and Herzegovina,2019,Total,15.692,23.125,802.856,22.598,48172.89,61.9,40.2,30.2,37.9,84.3,46.1,96.6,49.7,67.0,83.1,82.6,65.0,60.0
Bosnia and Herzegovina,2020,Female,18.536,16.79,449.765,23.272,47903.58,62.6,44.4,41.8,33.9,83.6,49.3,97.3,45.7,67.4,82.7,80.0,65.0,60.0
Bosnia and Herzegovina,2020,Male,14.119,12.744,723.31,20.412,47903.58,62.6,44.4,41.8,33.9,83.6,49.3,97.3,45.7,67.4,82.7,80.0,65.0,60.0
Bosnia and Herzegovina,2020,Total,15.868,14.295,1173.075,21.805,47903.58,62.6,44.4,41.8,33.9,83.6,49.3,97.3,45.7,67.4,82.7,80.0,65.0,60.0
Bosnia and Herzegovina,2021,Female,18.118,25.716,497.449,19.866,51597.69,62.9,44.1,42.4,33.7,93.8,49.5,97.1,48.2,67.8,84.1,69.2,65.0,60.0
Bosnia and Herzegovina,2021,Male,12.665,17.401,765.36,18.773,51597.69,62.9,44.1,42.4,33.7,93.8,49.5,97.1,48.2,67.8,84.1,69.2,65.0,60.0
Bosnia and Herzegovina,2021,Total,14.897,20.676,1262.809,19.302,51597.69,62.9,44.1,42.4,33.7,93.8,49.5,97.1,48.2,67.8,84.1,69.2,65.0,60.0
Bosnia and Herzegovina,2022,Female,15.448,24.786,516.956,18.08,52962.28,63.4,49.2,33.4,37.2,94.0,46.2,95.9,66.6,60.2,84.9,68.8,65.0,60.0
