ref_area.label;source.label;indicator.label;sex.label;classif1.label;time;obs_value_worked_hours;obs_status.label;note_classif.label;note_indicator.label;note_source.label
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 30-34;2020;252.9;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 35-39;2020;312.066;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 40-48;2020;1085.374;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 49+;2020;1958.05;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: Not elsewhere classified;2020;183.526;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: Total;2020;1140.725;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: No hours actually worked;2020;;Unreliable;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 1-14;2020;449.445;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 15-29;2020;339.438;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 30-34;2020;45.57;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
