ref_area.label;source.label;indicator.label;sex.label;classif1.label;time;obs_value_informal;obs_status.label;note_classif.label;note_indicator.label;note_source.label
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply";2021;60.596;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2021;75.912;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2021;37.443;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Aggregate): Not classified;2021;93.143;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Aggregate): Total;2021;97.295;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Aggregate): Agriculture;2021;99.746;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Aggregate): Manufacturing;2021;96.588;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Aggregate): Construction;2021;100;Unreliable;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2021;100;Unreliable;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2021;59.492;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Afghanistan;LFS - Labour Force Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Aggregate): Not classified;2021;100;;;;Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Agriculture, Non-Agriculture): Total;2022;92.205;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Agriculture, Non-Agriculture): Agriculture;2022;99.752;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Agriculture, Non-Agriculture): Non-agriculture;2022;84.194;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Agriculture, Non-Agriculture): Total;2022;88.839;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Agriculture, Non-Agriculture): Agriculture;2022;99.585;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Agriculture, Non-Agriculture): Non-agriculture;2022;79.187;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Agriculture, Non-Agriculture): Total;2022;95.438;;;;Repository: ILO-STATISTICS - Micro data processing
