ref_area.label;source.label;indicator.label;sex.label;time;obs_value_NEET;obs_status.label;note_indicator.label;note_source.label
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Male;2018;15.527;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Female;2018;22.49;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Total;2017;19.246;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Male;2017;15.777;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina;LFS - Permanent Household Survey, Urban;Share of youth not in employment, education or training (NEET) by sex (%);Female;2017;22.781;;;Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2023;20.177;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2023;16.985;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2023;23.02;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2022;24.533;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2022;20.974;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2022;27.731;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2021;21.892;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2021;18.16;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2021;25.142;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2020;25.984;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2020;21.117;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2020;30.601;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2019;25.461;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2019;21.206;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2019;29.165;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2018;24.746;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2018;18.689;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;HIES - Households Living Conditions Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2018;29.647;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;LFS - Household Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2017;36.586;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;LFS - Household Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2017;35.722;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;LFS - Household Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2017;37.528;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;LFS - Household Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2016;36.584;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;LFS - Household Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2016;35.393;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;LFS - Household Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2016;37.83;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;LFS - Household Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2015;35.56;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;LFS - Household Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2015;36.35;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia;LFS - Household Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2015;34.797;;;Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Antigua and Barbuda;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2023;17.864;;;Repository: ILO-STATISTICS - Micro data processing
Antigua and Barbuda;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2023;18.236;;;Repository: ILO-STATISTICS - Micro data processing
Antigua and Barbuda;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2023;17.486;;;Repository: ILO-STATISTICS - Micro data processing
Antigua and Barbuda;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2018;20.78;;;Repository: ILO-STATISTICS - Micro data processing
Antigua and Barbuda;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2018;17.982;;;Repository: ILO-STATISTICS - Micro data processing
Antigua and Barbuda;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2018;23.551;;;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2023;7.913;;;Repository: ILO-STATISTICS - Micro data processing
